symbol_lower,symbol,chrom,start,stop
bhlhe21,bHLHe21,chr21,34442450,34444726
olig1,OLIG1,chr21,34442450,34444726
rack17,RACK17,chr21,34398153,34401504
oligo2,OLIGO2,chr21,34398153,34401504
bhlhe19,bHLHe19,chr21,34398153,34401504
olig2,OLIG2,chr21,34398153,34401504
bhlhb7,Bhlhb7,chr6,137813339,137815387
bhlhe20,bHLHe20,chr6,137813339,137815387
olig3,OLIG3,chr6,137813339,137815387
lox-1,LOX-1,chr12,10310900,10324737
scare1,SCARE1,chr12,10310900,10324737
clec8a,CLEC8A,chr12,10310900,10324737
olr1,OLR1,chr12,10310900,10324737
mprp-1,MPRP-1,chr1,58881056,59012474
ykr087c,YKR087C,chr1,58881056,59012474
zmpoma1,ZMPOMA1,chr1,58881056,59012474
flj33782,FLJ33782,chr1,58881056,59012474
oma1,OMA1,chr1,58881056,59012474
osteoadherin,osteoadherin,chr9,95176527,95186743
slrr2c,SLRR2C,chr9,95176527,95186743
omd,OMD,chr9,95176527,95186743
omgp,OMGP,chr17,29599031,29624557
omg,OMG,chr17,29599031,29624557
omp,OMP,chr11,76813886,76814377
hnf-6,HNF-6,chr15,53049186,53083275
onecut1,ONECUT1,chr15,53049186,53083275
oc-2,OC-2,chr18,55102917,55158529
onecut2,ONECUT2,chr18,55102917,55158529
em:ac019205.2,Em:AC019205.2,chr6,74078278,74104856
khdc2,KHDC2,chr6,74078278,74104856
ooep,OOEP,chr6,74078278,74104856
flj36198,FLJ36198,chr11,59807748,59815517
oosp2a,OOSP2A,chr11,59807748,59815517
oosp2,OOSP2,chr11,59807748,59815517
oosp3,OOSP3,chr11,59646282,59663954
oosp4a,OOSP4A,chr11,59731506,59737619
oosp4b,OOSP4B,chr11,59745493,59798550
ntg,NTG,chr3,193310933,193415612
kiaa0567,KIAA0567,chr3,193310933,193415612
flj12460,FLJ12460,chr3,193310933,193415612
npg,NPG,chr3,193310933,193415612
mgm1,MGM1,chr3,193310933,193415612
opa1,OPA1,chr3,193310933,193415612
flj22187,FLJ22187,chr19,46030685,46105470
mga3,MGA3,chr19,46030685,46105470
opa3,OPA3,chr19,46030685,46105470
tmp10,TMP10,chr10,98102973,98119122
htmp10,HTMP10,chr10,98102973,98119122
opalin,OPALIN,chr10,98102973,98119122
opcm,OPCM,chr11,132284871,133402414
obcam,OBCAM,chr11,132284871,133402414
iglon1,IGLON1,chr11,132284871,133402414
opcml,OPCML,chr11,132284871,133402414
opn1,OPN1,chrX,67262186,67653755
arhgap41,ARHGAP41,chrX,67262186,67653755
ophn1,OPHN1,chrX,67262186,67653755
opla,OPLA,chr8,145106167,145118868
5-opase,5-Opase,chr8,145106167,145118868
oplah,OPLAH,chr8,145106167,145118868
cod5,COD5,chrX,153409698,153424507
opn1lw,OPN1LW,chrX,153409698,153424507
opn1mw1,OPN1MW1,chrX,153448085,153461626
cod5,COD5,chrX,153448085,153461626
opn1mw,OPN1MW,chrX,153448085,153461626
opn1mw2,OPN1MW2,chrX,153485225,153498755
opn1mw3,OPN1MW3,chrX,153485203,153499470
bop,BOP,chr7,128412545,128415844
cbt,CBT,chr7,128412545,128415844
opn1sw,OPN1SW,chr7,128412545,128415844
ero,ERO,chr1,241753404,241840678
nmo-1,NMO-1,chr1,241753404,241840678
encephalopsin,encephalopsin,chr1,241753404,241840678
ppp1r116,PPP1R116,chr1,241753404,241840678
opn3,OPN3,chr1,241753404,241840678
mop,MOP,chr10,88414314,88426605
melanopsin,melanopsin,chr10,88414314,88426605
opn4,OPN4,chr10,88414314,88426605
neuropsin,neuropsin,chr6,47749718,47800516
dj402h5.1,dJ402H5.1,chr6,47749718,47800516
opn5,OPN5,chr6,47749718,47800516
oprd1,OPRD1,chr1,29138654,29197779
kor,KOR,chr8,54138276,54164257
oprk,OPRK,chr8,54138276,54164257
oprk1,OPRK1,chr8,54138276,54164257
nocir,NOCIR,chr20,62711526,62731996
orl1,ORL1,chr20,62711526,62731996
oor,OOR,chr20,62711526,62731996
kor-3,KOR-3,chr20,62711526,62731996
nopr,NOPr,chr20,62711526,62731996
oprl1,OPRL1,chr20,62711526,62731996
mor1,MOR1,chr6,154331631,154568001
oprm1,OPRM1,chr6,154331631,154568001
bplp,BPLP,chr4,71263599,71275911
prl1,PRL1,chr4,71263599,71275911
oprpn,OPRPN,chr4,71263599,71275911
optc,OPTC,chr1,203463271,203477992
fip2,FIP2,chr10,13141449,13180308
hypl,HYPL,chr10,13141449,13180308
fip-2,FIP-2,chr10,13141449,13180308
tfiiia-intp,TFIIIA-INTP,chr10,13141449,13180308
nrp,NRP,chr10,13141449,13180308
hip7,HIP7,chr10,13141449,13180308
optn,OPTN,chr10,13141449,13180308
or17-7,OR17-7,chr17,3110833,3122190
or1a1,OR1A1,chr17,3110833,3122190
or17-6,OR17-6,chr17,3100813,3101742
or1a2,OR1A2,chr17,3100813,3101742
or9-b,OR9-B,chr9,125390858,125391852
or1b1,OR1B1,chr9,125390858,125391852
tpcr27,TPCR27,chr1,247918148,247923858
hstpcr27,HSTPCR27,chr1,247918148,247923858
or1c1,OR1C1,chr1,247918148,247923858
or17-4,OR17-4,chr17,2991778,3007716
or1d2,OR1D2,chr17,2991778,3007716
or17-30,OR17-30,chr17,3138997,3144908
or1d4,OR1D4,chr17,3138997,3144908
or17-31,OR17-31,chr17,2965963,2966901
or1d5,OR1D5,chr17,2965963,2966901
or17-2,OR17-2,chr17,3300398,3301704
hgm071,HGM071,chr17,3300398,3301704
or17-32,OR17-32,chr17,3300398,3301704
or13-66,OR13-66,chr17,3300398,3301704
or1e1,OR1E1,chr17,3300398,3301704
or17-93,OR17-93,chr17,3336164,3337135
or17-135,OR17-135,chr17,3336164,3337135
or1e2,OR1E2,chr17,3336164,3337135
or17-210,OR17-210,chr17,3019721,3020668
or1e3,OR1E3,chr17,3019721,3020668
olfmf,Olfmf,chr16,3254247,3255188
or16-36,OR16-36,chr16,3254247,3255188
or16-37,OR16-37,chr16,3254247,3255188
or16-88,OR16-88,chr16,3254247,3255188
or16-89,OR16-89,chr16,3254247,3255188
or16-90,OR16-90,chr16,3254247,3255188
olfmf,OLFMF,chr16,3254247,3255188
or3-145,OR3-145,chr16,3254247,3255188
or1f1,OR1F1,chr16,3254247,3255188
or17-209,OR17-209,chr17,3029878,3030875
or1g1,OR1G1,chr17,3029878,3030875
hg32,hg32,chr9,125239237,125240205
or1j1,OR1J1,chr9,125239237,125240205
ost044,OST044,chr9,125273081,125274022
or1j2,OR1J2,chr9,125273081,125274022
htpcrx01,HTPCRX01,chr9,125281420,125282361
hshtpcrx01,HSHTPCRX01,chr9,125281420,125282361
or1j4,OR1J4,chr9,125281420,125282361
hg99,hg99,chr9,125562402,125563352
mnab,MNAB,chr9,125562402,125563352
or1k1,OR1K1,chr9,125562402,125563352
or9-c,OR9-C,chr9,125423845,125424927
or1l1,OR1L1,chr9,125423845,125424927
or9-d,OR9-D,chr9,125437315,125438432
or1l3,OR1L3,chr9,125437315,125438432
or9-e,OR9-E,chr9,125486269,125487204
or1l4,OR1L4,chr9,125486269,125487204
or1l6,OR1L6,chr9,125504582,125513062
or1l8,OR1L8,chr9,125329396,125345663
or19-6,OR19-6,chr19,9197737,9206345
or1m1,OR1M1,chr19,9197737,9206345
or1-26,OR1-26,chr9,125288637,125289575
or1n1,OR1N1,chr9,125288637,125289575
or1n2,OR1N2,chr9,125315391,125316493
or17-208,OR17-208,chr17,3057183,3058176
or1p1,OR1P1,chr17,3057183,3058176
ost226,OST226,chr9,125377017,125377961
or9-a,OR9-A,chr9,125377017,125377961
hstpcr106,HSTPCR106,chr9,125377017,125377961
ost226or9-a,OST226OR9-A,chr9,125377017,125377961
tpcr106,TPCR106,chr9,125377017,125377961
or1q1,OR1Q1,chr9,125377017,125377961
ost034,OST034,chr11,57980192,57983556
or1s1,OR1S1,chr11,57980192,57983556
or1s2,OR1S2,chr11,57970674,57971653
or2a1,OR2A1,chr7,144009557,144019761
ost008,OST008,chr7,143806607,143807657
or2a2,OR2A2,chr7,143806607,143807657
or2a4,OR2A4,chr6,132020784,132022541
or7-138,OR7-138,chr7,143746041,143755938
or7-141,OR7-141,chr7,143746041,143755938
or2a5,OR2A5,chr7,143746041,143755938
hsdj0798c17,HSDJ0798C17,chr7,143954756,143961885
or2a7,OR2A7,chr7,143954756,143961885
or2a12,OR2A12,chr7,143783371,143796046
ost182,OST182,chr7,143820269,143828281
or2a14,OR2A14,chr7,143820269,143828281
or2a25,OR2A25,chr7,143766904,143772963
or2a42,OR2A42,chr7,143925337,143936698
or2ae1,OR2AE1,chr7,99473610,99474680
or2ag1,OR2AG1,chr11,6804251,6812789
or2ag2,OR2AG2,chr11,6786857,6793207
or2aj1q,OR2AJ1Q,chr1,248088191,248098641
or2aj1,OR2AJ1,chr1,248088191,248098641
or2ak2,OR2AK2,chr1,248128535,248129688
or2ap1,OR2AP1,chr12,55966252,55969396
or2at4,OR2AT4,chr11,74792798,74807921
hs6m1-10,hs6M1-10,chr6,27878963,27880174
or6-1,OR6-1,chr6,27878963,27880174
or2b2q,OR2B2Q,chr6,27878963,27880174
or2b2,OR2B2,chr6,27878963,27880174
or6-4,OR6-4,chr6,29053985,29055090
or2b3,OR2B3,chr6,29053985,29055090
or6-31,OR6-31,chr6,27925019,27925960
dj408b20.2,dJ408B20.2,chr6,27925019,27925960
or5-40,OR5-40,chr6,27925019,27925960
or5-41,OR5-41,chr6,27925019,27925960
or2b6,OR2B6,chr6,27925019,27925960
or2b11,OR2B11,chr1,247612420,247621407
olfmf3,OLFmf3,chr16,3405889,3407294
or2c1,OR2C1,chr16,3405889,3407294
ost742,OST742,chr1,247687979,247699742
or2c3,OR2C3,chr1,247687979,247699742
or11-610,OR11-610,chr11,6912721,6913830
hg27,hg27,chr11,6912721,6913830
or2d2,OR2D2,chr11,6912721,6913830
or2d3,OR2D3,chr11,6942205,6943274
olf3,OLF3,chr7,143651937,143694405
or7-140,OR7-140,chr7,143651937,143694405
or7-139,OR7-139,chr7,143651937,143694405
or14-60,OR14-60,chr7,143651937,143694405
or2f1,OR2F1,chr7,143651937,143694405
or7-1,OR7-1,chr7,143632259,143633372
or2f2,OR2F2,chr7,143632259,143633372
or2g2,OR2G2,chr1,247751662,247752615
or2g3,OR2G3,chr1,247768888,247769817
or2g6,OR2G6,chr1,248671374,248690638
or6-2,OR6-2,chr6,29424958,29432105
or2h1,OR2H1,chr6,29424958,29432105
hs6m1-12,hs6M1-12,chr6,29552898,29558277
or2h2,OR2H2,chr6,29552898,29558277
or6-5,OR6-5,chr6,29067434,29070478
hs6m1-4,hs6M1-4,chr6,29067434,29070478
dj80i19.2,dJ80I19.2,chr6,29067434,29070478
or2j1,OR2J1,chr6,29067434,29070478
or6-8,OR6-8,chr6,29138684,29143588
hs6m1-6,hs6M1-6,chr6,29138684,29143588
dj80i19.4,dJ80I19.4,chr6,29138684,29143588
or2j2,OR2J2,chr6,29138684,29143588
or6-6,OR6-6,chr6,29075836,29082547
or2j3,OR2J3,chr6,29075836,29082547
htpcrh06,HTPCRH06,chr9,114089763,114092463
hshtpcrh06,HSHTPCRH06,chr9,114089763,114092463
or2k2,OR2K2,chr9,114089763,114092463
htpcrh07,HTPCRH07,chr1,248193372,248205607
hshtpcrh07,HSHTPCRH07,chr1,248193372,248205607
or2l2,OR2L2,chr1,248193372,248205607
or2l3,OR2L3,chr1,248210138,248226709
or2l5,OR2L5,chr1,248176962,248187578
or2l8,OR2L8,chr1,248112160,248113098
or2l13,OR2L13,chr1,248258486,248264405
ost423,OST423,chr1,248338123,248344369
or2m2q,OR2M2Q,chr1,248338123,248344369
or2m2,OR2M2,chr1,248338123,248344369
ost003,OST003,chr1,248360567,248376227
or2m3,OR2M3,chr1,248360567,248376227
htpcrx18,HTPCRX18,chr1,248394719,248407981
tpcr100,TPCR100,chr1,248394719,248407981
hshtpcrx18,HSHTPCRX18,chr1,248394719,248407981
ost710,OST710,chr1,248394719,248407981
or2m4,OR2M4,chr1,248394719,248407981
or2m5,OR2M5,chr1,248308450,248309388
or2m7,OR2M7,chr1,248486932,248487870
or2s2,OR2S2,chr9,35957105,35958151
or1-25,OR1-25,chr1,248566349,248571321
or2t1,OR2T1,chr1,248566349,248571321
or2t2,OR2T2,chr1,248608813,248619026
or2t3,OR2T3,chr1,248636652,248637608
or2t4q,OR2T4Q,chr1,248524883,248525929
or2t4,OR2T4,chr1,248524883,248525929
or2t5,OR2T5,chr1,248651890,248654414
ost703,OST703,chr1,248539047,248555112
or2t6,OR2T6,chr1,248539047,248555112
ost723,OST723,chr1,248599660,248607617
or2t7,OR2T7,chr1,248599660,248607617
or2t8,OR2T8,chr1,248083554,248085258
or2t10,OR2T10,chr1,248753788,248761001
or2t11q,OR2T11Q,chr1,248786858,248798392
or2t11,OR2T11,chr1,248786858,248798392
or2t12,OR2T12,chr1,248453441,248466726
or2t27,OR2T27,chr1,248813232,248814185
or2t29,OR2T29,chr1,248720213,248726073
or2t33,OR2T33,chr1,248433219,248441278
or2t34,OR2T34,chr1,248737102,248738058
or2t35,OR2T35,chr1,248799657,248808579
ost265,OST265,chr5,180550122,180558169
or2v1,OR2V1,chr5,180550122,180558169
ost713,OST713,chr5,180574586,180586285
or2v2,OR2V2,chr5,180574586,180586285
hs6m1-15,hs6M1-15,chr6,29011990,29013017
or2w1,OR2W1,chr6,29011990,29013017
ost718,OST718,chr1,248058889,248059833
or2w3,OR2W3,chr1,248058889,248059833
ost722,OST722,chr1,247651395,247655717
or2w5,OR2W5,chr1,247651395,247655717
or2y1,OR2Y1,chr5,180166042,180167099
or2z1,OR2Z1,chr19,8831998,8842522
olfra03,OLFRA03,chr17,3194311,3201654
or40,OR40,chr17,3194311,3201654
or17-40,OR17-40,chr17,3194311,3201654
or3a1,OR3A1,chr17,3194311,3201654
olfra04,OLFRA04,chr17,3180236,3289611
or228,OR228,chr17,3180236,3289611
or17-228,OR17-228,chr17,3180236,3289611
or3a2,OR3A2,chr17,3180236,3289611
or17-201,OR17-201,chr17,3323862,3324827
or17-137,OR17-137,chr17,3323862,3324827
or17-16,OR17-16,chr17,3323862,3324827
or3a3,OR3A3,chr17,3323862,3324827
or4a5,OR4A5,chr11,51411378,51412448
or4a8,OR4A8,chr11,51435459,51436403
or4a15,OR4A15,chr11,55135360,55136394
or4a16q,OR4A16Q,chr11,55110627,55111707
or4a16,OR4A16,chr11,55110627,55111707
or4a47,OR4A47,chr11,48510269,48511332
ost208,OST208,chr11,48238362,48239291
or4b1,OR4B1,chr11,48238362,48239291
or4c3,OR4C3,chr11,48346472,48350023
or4c5q,OR4C5Q,chr11,48387037,48388017
or4c5,OR4C5,chr11,48387037,48388017
or4c6,OR4C6,chr11,55429677,55433671
or4c11,OR4C11,chr11,55369836,55375121
or4c12,OR4C12,chr11,50003009,50004071
or4c13,OR4C13,chr11,49973943,49974971
or4c15,OR4C15,chr11,55321783,55322895
or4c16,OR4C16,chr11,55339604,55340536
or4c46,OR4C46,chr11,51515282,51516211
tpcr16,TPCR16,chr17,56225810,56236916
or4d1,OR4D1,chr17,56225810,56236916
or4d2,OR4D2,chr17,56244343,56248772
or4d5,OR4D5,chr11,123810250,123811344
or4d6,OR4D6,chr11,59224411,59225464
or4d9,OR4D9,chr11,59278841,59288176
ost711,OST711,chr11,59240788,59246834
or4d10,OR4D10,chr11,59240788,59246834
or4d11,OR4D11,chr11,59271049,59271984
or4e1,OR4E1,chr14,22136154,22142033
or4e2,OR4E2,chr14,22122051,22135856
or4f3,OR4F3,chr5,180794269,180795263
or4f18,OR4F18,chr15,102462245,102463316
or4f4,OR4F4,chr15,102462245,102463316
or4f5,OR4F5,chr1,65419,71585
or4f6,OR4F6,chr15,102343712,102347090
or4f15,OR4F15,chr15,102352405,102360400
or4f16,OR4F16,chr1,621059,622053
or4f17,OR4F17,chr19,107104,117102
or4f21,OR4F21,chr8,116049,117043
or4k1,OR4K1,chr14,20399076,20404916
or4k2,OR4K2,chr14,20343301,20352091
or4k3,OR4K3,chr14,20336356,20337302
or4k5,OR4K5,chr14,20388741,20389818
or4k13,OR4K13,chr14,20497558,20504197
or4k14,OR4K14,chr14,20482302,20487466
or4k15q,OR4K15Q,chr14,20443603,20444818
or4k15,OR4K15,chr14,20443603,20444818
or4k17,OR4K17,chr14,20578898,20590358
or4l1,OR4L1,chr14,20528204,20529142
or4m1,OR4M1,chr14,20241663,20251855
or4m2,OR4M2,chr15,22358192,22371172
or4n2,OR4N2,chr14,20187174,20298412
or4n4,OR4N4,chr15,22382473,22383423
or4n5,OR4N5,chr14,20606979,20613630
or4p4,OR4P4,chr11,55402589,55407785
or4q2,OR4Q2,chr14,20468072,20472919
c14orf13,C14orf13,chr14,20211730,20217628
or4q3,OR4Q3,chr14,20211730,20217628
or4s1,OR4S1,chr11,48327775,48328704
ost725,OST725,chr11,55415803,55420330
or4s2,OR4S2,chr11,55415803,55420330
or4x1,OR4X1,chr11,48285413,48286330
or4x2,OR4X2,chr11,48266608,48267632
ost181,OST181,chr11,59203942,59218853
or5a1,OR5A1,chr11,59203942,59218853
or5a2,OR5A2,chr11,59184442,59193885
or5ac1,OR5AC1,chr3,97783316,97784240
hsa1,HSA1,chr3,97806017,97806946
or5ac2,OR5AC2,chr3,97806017,97806946
or5ak2,OR5AK2,chr11,56756347,56757342
or5al1,OR5AL1,chr11,56180172,56181156
or5an1,OR5AN1,chr11,59126368,59139187
or5ap2,OR5AP2,chr11,56408942,56409947
or5ar1,OR5AR1,chr11,56431138,56432163
or5as1,OR5AS1,chr11,55795130,55805667
or5au1,OR5AU1,chr14,21616529,21627219
ost073,OST073,chr11,58188737,58195594
or5b2,OR5B2,chr11,58188737,58195594
ost129,OST129,chr11,58169937,58174347
or5b3,OR5B3,chr11,58169937,58174347
ost743,OST743,chr11,58206550,58210231
or5b12,OR5B12,chr11,58206550,58210231
or5b17,OR5B17,chr11,58125597,58126542
or5b21,OR5B21,chr11,58274648,58275578
or9-f,OR9-F,chr9,125551212,125552174
hrpk-465_f_21,hRPK-465_F_21,chr9,125551212,125552174
or5c1,OR5C1,chr9,125551212,125552174
or5d13,OR5D13,chr11,55540914,55541858
or5d14,OR5D14,chr11,55563032,55563976
or5d16,OR5D16,chr11,55606228,55607214
or5d18,OR5D18,chr11,55587083,55588073
or11-10,OR11-10,chr11,55761157,55762101
or5f1,OR5F1,chr11,55761157,55762101
or5g3,OR5G3,chr11,56587049,56587992
htpcrx14,HTPCRX14,chr3,97849565,97857392
hshtpcrx14,HSHTPCRX14,chr3,97849565,97857392
or5h1,OR5H1,chr3,97849565,97857392
or5h2,OR5H2,chr3,98001732,98002676
or5h6,OR5H6,chr3,97982096,97984200
or5h8,OR5H8,chr3,98025596,98031687
or5h14,OR5H14,chr3,97866323,97875458
or5h15,OR5H15,chr3,97887544,97888485
hsolf1,HSOlf1,chr11,55702932,55703876
olf1,OLF1,chr11,55702932,55703876
or5i1,OR5I1,chr11,55702932,55703876
or5j2,OR5J2,chr11,55944094,55945032
htpcrx10,HTPCRX10,chr3,98182045,98191768
hshtpcrx10,HSHTPCRX10,chr3,98182045,98191768
or5k1,OR5K1,chr3,98182045,98191768
or5k2,OR5K2,chr3,98216448,98217507
or5k3,OR5K3,chr3,98109510,98110475
or5k4,OR5K4,chr3,98072698,98073663
ost262,OST262,chr11,55578843,55579952
or5l1,OR5L1,chr11,55578843,55579952
htpcrx16,HTPCRX16,chr11,55594695,55595630
hshtpcrx16,HSHTPCRX16,chr11,55594695,55595630
or5l2,OR5L2,chr11,55594695,55595630
ost050,OST050,chr11,56376712,56382350
or5m1,OR5M1,chr11,56376712,56382350
or5m3,OR5M3,chr11,56236750,56240828
or5m8,OR5M8,chr11,56257825,56258871
or5m9,OR5M9,chr11,56229945,56230877
or5m10,OR5M10,chr11,56344212,56345263
or11-199,OR11-199,chr11,56309738,56310757
or5m11,OR5M11,chr11,56309738,56310757
jcg3,JCG3,chr11,7817452,7818520
or5p2,OR5P2,chr11,7817452,7818520
jcg1,JCG1,chr11,7846365,7852387
or5p3,OR5P3,chr11,7846365,7852387
or5r1,OR5R1,chr11,56184734,56185708
or5t1,OR5T1,chr11,56041630,56044295
or5t2,OR5T2,chr11,55998758,56001731
or5t3q,OR5T3Q,chr11,56019676,56020698
or5t3,OR5T3,chr11,56019676,56020698
hs6m1-21,hs6M1-21,chr6,29321526,29399744
or5v1,OR5V1,chr6,29321526,29399744
or5w2,OR5W2,chr11,55681126,55682058
or11-55,OR11-55,chr11,6812967,6820920
or6a2,OR6A2,chr11,6812967,6820920
or7-3,OR7-3,chr7,143697413,143705886
or6b1,OR6B1,chr7,143697413,143705886
or6b2,OR6B2,chr2,240968382,240969873
or6b3q,OR6B3Q,chr2,240984494,240986444
or6b3,OR6B3,chr2,240984494,240986444
ost267,OST267,chr12,55708127,55716148
or6c1,OR6C1,chr12,55708127,55716148
or6c67,OR6C67,chr12,55837853,55847131
or6c2,OR6C2,chr12,55837853,55847131
ost709,OST709,chr12,55723827,55726471
or6c3,OR6C3,chr12,55723827,55726471
or6c4,OR6C4,chr12,55943386,55949616
or6c6,OR6C6,chr12,55687772,55690353
or6c65,OR6C65,chr12,55794214,55795289
or6c68,OR6C68,chr12,55886162,55887100
or6c70,OR6C70,chr12,55862984,55863922
or6c74,OR6C74,chr12,55640982,55642086
or6c75,OR6C75,chr12,55756759,55763063
or6c76,OR6C76,chr12,55820038,55820976
ost731,OST731,chr1,247874738,247879948
or6f1,OR6F1,chr1,247874738,247879948
or6j1,OR6J1,chr14,23099834,23113561
or6k2,OR6K2,chr1,158669468,158670442
or6k3,OR6K3,chr1,158686117,158690510
or6k6,OR6K6,chr1,158724510,158725681
or6m1,OR6M1,chr11,123676043,123677095
or6n1,OR6N1,chr1,158717604,158741985
or6n2,OR6N2,chr1,158744012,158750994
or6p1,OR6P1,chr1,158530396,158540370
or6q1,OR6Q1,chr11,57798402,57799403
or6s1q,OR6S1Q,chr14,21108855,21109850
or6s1,OR6S1,chr14,21108855,21109850
or6t1,OR6T1,chr11,123813492,123814580
gpr138,GPR138,chr7,142749417,142750444
or6v1,OR6V1,chr7,142749417,142750444
or6x1,OR6X1,chr11,123624196,123625253
or6y1,OR6Y1,chr1,158514340,158524195
htpcr2,HTPCR2,chr19,14935063,14946097
or7a5,OR7A5,chr19,14935063,14946097
or7a10,OR7A10,chr19,14951278,14959734
htpcrx19,HTPCRX19,chr19,14989015,14996944
or7a17,OR7A17,chr19,14989015,14996944
or19-5,OR19-5,chr19,14900072,14946188
or7c1,OR7C1,chr19,14900072,14946188
or19-4,OR19-4,chr19,9289655,9299493
htpcrh03,HTPCRH03,chr19,9289655,9299493
flj38149,FLJ38149,chr19,9289655,9299493
or7d2,OR7D2,chr19,9289655,9299493
hg105,hg105,chr19,9320952,9330265
or19-b,OR19-B,chr19,9320952,9330265
or7d4,OR7D4,chr19,9320952,9330265
or19-8,OR19-8,chr19,9358020,9363301
hsht2,HSHT2,chr19,9358020,9363301
or7e24q,OR7E24Q,chr19,9358020,9363301
or7e24,OR7E24,chr19,9358020,9363301
or19-15,OR19-15,chr19,9225504,9226439
or7g1,OR7G1,chr19,9225504,9226439
ost260,OST260,chr19,9211083,9218151
or7g2,OR7G2,chr19,9211083,9218151
ost085,OST085,chr19,9236688,9237626
or7g3,OR7G3,chr19,9236688,9237626
ost025,OST025,chr11,124436556,124452838
or8a1,OR8A1,chr11,124436556,124452838
or8b2,OR8B2,chr11,124252290,124254358
or8b3,OR8B3,chr11,124265430,124268920
or8b4,OR8B4,chr11,124293800,124294789
tpcr85,TPCR85,chr11,124307341,124315592
or8b8,OR8B8,chr11,124307341,124315592
or8b12,OR8B12,chr11,124409531,124415229
ost004,OST004,chr11,124172727,124184995
or8d1,OR8D1,chr11,124172727,124184995
or8d2,OR8D2,chr11,124189134,124190184
or8d4,OR8D4,chr11,123772874,123779936
tpcr25,TPCR25,chr11,124111835,124124260
hstpcr25,HSTPCR25,chr11,124111835,124124260
or8g1,OR8G1,chr11,124111835,124124260
or8g5,OR8G5,chr11,124126272,124136114
or8h1,OR8H1,chr11,56055938,56059730
or8h2,OR8H2,chr11,55871163,55875134
or8h3,OR8H3,chr11,55889849,55890787
or8i2,OR8I2,chr11,55860753,55861762
or8j1,OR8J1,chr11,56127691,56128764
or8j2,OR8J2,chr11,55976461,55982698
or8j3,OR8J3,chr11,55902197,55907677
or8k1,OR8K1,chr11,56113421,56114507
or8k3,OR8K3,chr11,56082620,56088115
or8k5,OR8K5,chr11,55926870,55927793
or8s1,OR8S1,chr12,48919415,48921886
or8u1,OR8U1,chr11,56143100,56144029
or9a2,OR9A2,chr7,142723245,142724282
or9a4,OR9A4,chr7,141616199,141620425
or9g1,OR9G1,chr11,56466571,56471360
or9g4,OR9G4,chr11,56508699,56516173
or9i1,OR9I1,chr11,57884214,57893002
or9k2,OR9K2,chr12,55520190,55526534
or9q1,OR9Q1,chr11,57791353,57949088
or9q2,OR9Q2,chr11,57956542,57961525
ost363,OST363,chr11,6884288,6895948
or10a2,OR10A2,chr11,6884288,6895948
htpcrx12,HTPCRX12,chr11,7958718,7963255
hshtpcrx12,HSHTPCRX12,chr11,7958718,7963255
or10a3,OR10A3,chr11,7958718,7963255
or10a4,OR10A4,chr11,6897856,6898850
or11-403,OR11-403,chr11,6866883,6867936
jcg6,JCG6,chr11,6866883,6867936
or10a5,OR10A5,chr11,6866883,6867936
or10a6,OR10A6,chr11,7946139,7952815
or10a7,OR10A7,chr12,55614809,55615759
or10ac1,OR10AC1,chr7,143206349,143216562
or10ad1,OR10AD1,chr12,48595866,48597170
or10ag1,OR10AG1,chr11,55733231,55737421
hs6m1-17,hs6M1-17,chr6,29407083,29408754
or10c1p,OR10C1P,chr6,29407083,29408754
or10c1,OR10C1,chr6,29407083,29408754
htpcrx09,HTPCRX09,chr11,124054052,124059487
or10d3,OR10D3,chr11,124054052,124059487
or10g2,OR10G2,chr14,22101992,22103096
or10g3,OR10G3,chr14,22036651,22048210
or10g4,OR10G4,chr11,123883704,123889439
or10g6q,OR10G6Q,chr11,123864870,123865868
or10g6,OR10G6,chr11,123864870,123865868
or10g7,OR10G7,chr11,123906720,123912032
or10g8,OR10G8,chr11,123897505,123901341
or10g9,OR10G9,chr11,123893720,123894655
or10h4,OR10H4,chr19,16055109,16061160
or10h5,OR10H5,chr19,15898471,15911835
hgmp07j,HGMP07J,chr1,159407635,159412868
hshgmp07j,HSHGMP07J,chr1,159407635,159412868
or10j1,OR10J1,chr1,159407635,159412868
or10j3,OR10J3,chr1,159283460,159284449
ost717,OST717,chr1,159401994,159402928
or10j4,OR10J4,chr1,159401994,159402928
or10j5,OR10J5,chr1,159504868,159505797
or10k1,OR10K1,chr1,158431364,158440647
or10k2,OR10K2,chr1,158388000,158396027
ost701,OST701,chr12,56030644,56031638
or10p1,OR10P1,chr12,56030644,56031638
or10q1,OR10Q1,chr11,57995354,57996390
or10r2q,OR10R2Q,chr1,158442010,158450726
or10r2,OR10R2,chr1,158442010,158450726
or10s1,OR10S1,chr11,123847368,123848488
or10t2,OR10T2,chr1,158368312,158369256
or10v1,OR10V1,chr11,59480389,59481318
or10w1,OR10W1,chr11,58034264,58035732
or10x1,OR10X1,chr1,158548709,158549689
or10z1,OR10Z1,chr1,158575058,158582304
hs6m1-18,hs6M1-18,chr6,29393281,29424848
or11a1,OR11A1,chr6,29393281,29424848
or11g2,OR11G2,chr14,20659053,20669234
or22-1,OR22-1,chr22,16448824,16449805
or11h1,OR11H1,chr22,16448824,16449805
or11h2,OR11H2,chr14,20181063,20182491
or11h4,OR11H4,chr14,20707445,20712508
or11h6,OR11H6,chr14,20691869,20692861
or11h7,OR11H7,chr14,20697561,20698505
